"Time","A0","A0volt","A0tempF","A1","A1volt","A1tempF","A2","A2volt","A2tempF","A3","A3volt","A4","A4volt","A5","A5volt","A6","A6volt","A7","A7volt","RTCTEMP","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","D12","D13","SerialNumber"
"2023-10-10T17:51:51","152","0.74","75.72","509","2.48","389.8","509","2.48","389.8","376","15.04","351","14.04","357","14.28","0","0.0","0","0.0","28.25","1","1","1","1","0","1","1","1","1","1","1","1","2251441C44100820F80BA000A0000057"
"2023-10-10T17:52:52","152","0.74","75.72","509","2.48","389.8","509","2.48","389.8","376","15.04","351","14.04","357","14.28","0","0.0","0","0.0","28.25","1","1","1","1","0","1","1","1","1","1","1","1","2251441C44100820F80BA000A0000057"
"2023-10-10T17:53:52","152","0.74","75.72","509","2.48","389.8","509","2.48","389.8","376","15.04","351","14.04","357","14.28","0","0.0","0","0.0","28.25","1","1","1","1","0","1","1","1","1","1","1","1","2251441C44100820F80BA000A0000057"
"2023-10-10T17:54:52","152","0.74","75.72","509","2.48","389.8","509","2.48","389.8","376","15.04","351","14.04","357","14.28","0","0.0","0","0.0","28.25","1","1","1","1","0","1","1","1","1","1","1","1","2251441C44100820F80BA000A0000057"
"2023-10-10T17:55:53","151","0.74","74.84","509","2.48","389.8","509","2.48","389.8","376","15.04","351","14.04","357","14.28","0","0.0","0","0.0","28.25","1","1","1","1","0","1","1","1","1","1","1","1","2251441C44100820F80BA000A0000057"
"2023-10-10T17:56:53","151","0.74","74.84","509","2.48","389.8","509","2.48","389.8","376","15.04","351","14.04","357","14.28","0","0.0","0","0.0","28.25","1","1","1","1","0","1","1","1","1","1","1","1","2251441C44100820F80BA000A0000057"
"2023-10-10T17:57:54","151","0.74","74.84","509","2.48","389.8","509","2.48","389.8","376","15.04","351","14.04","357","14.28","0","0.0","0","0.0","28.0","1","1","1","1","0","1","1","1","1","1","1","1","2251441C44100820F80BA000A0000057"
"2023-10-10T17:58:54","152","0.74","75.72","509","2.48","389.8","509","2.48","389.8","376","15.04","351","14.04","357","14.28","0","0.0","0","0.0","28.0","1","1","1","1","0","1","1","1","1","1","1","1","2251441C44100820F80BA000A0000057"
"2023-10-10T17:59:54","151","0.74","74.84","509","2.48","389.8","509","2.48","389.8","376","15.04","351","14.04","357","14.28","0","0.0","0","0.0","28.0","1","1","1","1","0","1","1","1","1","1","1","1","2251441C44100820F80BA000A0000057"
"2023-10-10T18:00:55","152","0.74","75.72","509","2.48","389.8","509","2.48","389.8","376","15.04","351","14.04","357","14.28","0","0.0","0","0.0","28.0","1","1","1","1","0","1","1","1","1","1","1","1","2251441C44100820F80BA000A0000057"
"2023-10-10T18:01:55","152","0.74","75.72","509","2.48","389.8","509","2.48","389.8","376","15.04","351","14.04","357","14.28","0","0.0","0","0.0","28.0","1","1","1","1","0","1","1","1","1","1","1","1","2251441C44100820F80BA000A0000057"
"2023-10-10T18:02:56","152","0.74","75.72","509","2.48","389.8","509","2.48","389.8","376","15.04","351","14.04","357","14.28","0","0.0","0","0.0","28.0","1","1","1","1","0","1","1","1","1","1","1","1","2251441C44100820F80BA000A0000057"
"2023-10-10T18:03:56","151","0.74","74.84","509","2.48","389.8","509","2.48","389.8","376","15.04","351","14.04","357","14.28","0","0.0","0","0.0","28.0","1","1","1","1","0","1","1","1","1","1","1","1","2251441C44100820F80BA000A0000057"
"2023-10-10T18:04:56","151","0.74","74.84","509","2.48","389.8","509","2.48","389.8","376","15.04","351","14.04","357","14.28","0","0.0","0","0.0","28.0","1","1","1","1","0","1","1","1","1","1","1","1","2251441C44100820F80BA000A0000057"
"2023-10-10T18:05:57","151","0.74","74.84","509","2.48","389.8","509","2.48","389.8","376","15.04","351","14.04","357","14.28","0","0.0","0","0.0","28.0","1","1","1","1","0","1","1","1","1","1","1","1","2251441C44100820F80BA000A0000057"
